aa;aar;068;Afar
ab;abk;010;Abkhazian
ae;ave;016;Avestan
af;afr;070;Afrikaans
ak;aka;027;Akan
am;amh;040;Amharic
ar;ara;050;Arabic
as;asm;060;Assamese
av;ava;014;Avaric
ay;aym;026;Aymara
az;aze;025;Azerbaijani
ba;bak;086;Bashkir
be;bel;090;Belarusian
bg;bul;115;Bulgarian
bi;bis;107;Bislama
bn;ben;100;Bengali
bo;bod;680;Tibetan
br;bre;120;Breton
bs;bos;-;Bosnian
ca;cat;290;Catalan
ce;che;785;Chechen
ch;cha;782;Chamorro
co;cos;334;Corsican
cs;ces;790;Czech
cu;chu;777;Church Slavic
cv;chv;795;Chuvash
cy;cym;130;Welsh
da;dan;178;Danish
de;deu;481;German
dv;div;180;Dhivehi
dz;dzo;183;Dzongkha
ee;ewe;820;Ewe
el;ell;157;Modern Greek
en;eng;045;English
eo;epo;845;Esperanto
es;spa;230;Spanish
et;est;850;Estonian
eu;eus;085;Basque
fa;fas;535;Persian
ff;ful;752;Fulah
fi;fin;740;Finnish
fj;fij;737;Fijian
fo;fao;735;Faroese
fr;fra;745;French
fy;fry;750;Western Frisian
ga;gle;220;Irish
gd;gla;170;Scottish Gaelic
gl;glg;147;Galician
gu;guj;165;Gujarati
ha;hau;761;Hausa
he;heb;198;Hebrew
hi;hin;770;Hindi
ho;hmo;772;Hiri Motu
hr;hrv;-;Croatian
ht;hat;-;Haitian
hu;hun;133;Hungarian
hy;hye;055;Armenian
hz;her;149;Herero
ia;ina;215;Interlingua
id;ind;210;Indonesian
ie;ile;216;Interlingue
ig;ibo;199;Igbo
ii;iii;218;Sichuan Yi
is;isl;225;Icelandic
it;ita;235;Italian
iu;iku;217;Inuktitut
ja;jpn;870;Japanese
jv;jav;860;Javanese
ka;kat;158;Georgian
kg;kon;326;Kongo
ki;kik;302;Kikuyu
kj;kua;303;Kuanyama
kk;kaz;255;Kazakh
kl;kal;843;Kalaallisut
km;khm;360;Central Khmer
kn;kan;265;Kannada
ko;kor;330;Korean
kr;kau;267;Kanuri
ks;kas;294;Kashmiri
ku;kur;350;Kurdish
kv;kom;320;Komi
kw;cor;332;Cornish
ky;kir;-;Kirghiz
la;lat;380;Latin
lb;ltz;409;Luxembourgish
lg;lug;148;Ganda
ln;lin;395;Lingala
lo;lao;375;Lao
lt;lit;400;Lithuanian
lu;lub;404;Luba-Katanga
lv;lav;385;Latvian
mg;mlg;418;Malagasy
mh;mah;446;Marshallese
mi;mri;437;Maori
mn;mon;463;Mongolian
mo;460;460;Moldavian
mr;mar;440;Marathi
ms;msa;420;Malay (macrolanguage)
mt;mlt;430;Maltese
my;mya;105;Burmese
na;nau;472;Nauru
nd;nde;473;North Ndebele
ne;nep;485;Nepali
ng;ndo;475;Ndonga
nl;nld;495;Dutch
nn;nno;513;Norwegian Nynorsk
no;nor;506;Norwegian
nr;nbl;474;South Ndebele
nv;nav;470;Navajo
ny;nya;510;Nyanja
oc;oci;517;Occitan (post 1500)
oj;oji;515;Ojibwa
om;orm;522;Oromo
os;oss;524;Ossetian
pa;pan;530;Panjabi
pi;pli;527;Pali
pl;pol;540;Polish
ps;pus;550;Pushto
pt;por;545;Portuguese
qu;que;300;Quechua
rm;roh;560;Romansh
rn;run;567;Rundi
ro;ron;565;Romanian
ru;rus;570;Russian
rw;kin;304;Kinyarwanda
sa;san;581;Sanskrit
sc;srd;583;Sardinian
sd;snd;600;Sindhi
sg;sag;579;Sango
si;sin;599;Sinhala
sk;slk;605;Slovak
sl;slv;610;Slovenian
sm;smo;578;Samoan
sn;sna;807;Shona
so;som;615;Somali
sq;sqi;030;Albanian
sr;srp;-;Serbian
ss;ssw;584;Swati
st;sot;618;Southern Sotho
su;sun;633;Sundanese
sv;swe;805;Swedish
sw;swa;631;Swahili (macrolanguage)
ta;tam;655;Tamil
te;tel;675;Telugu
tg;tgk;640;Tajik
th;tha;645;Thai
ti;tir;683;Tigrinya
tk;tuk;695;Turkmen
tl;tgl;636;Tagalog
tn;tsn;688;Tswana
to;ton;686;Tonga (Tonga Islands)
tr;tur;693;Turkish
ts;tso;689;Tsonga
tt;tat;660;Tatar
tw;twi;670;Twi
ty;tah;647;Tahitian
ug;uig;715;Uighur
uk;ukr;720;Ukrainian
ur;urd;730;Urdu
uz;uzb;710;Uzbek
ve;ven;134;Venda
vi;vie;140;Vietnamese
vo;vol;137;Volapuk
wo;wol;138;Wolof
xh;xho;340;Xhosa
yi;yid;202;Yiddish
yo;yor;245;Yoruba
za;zha;791;Zhuang
zh;zho;315;Chinese
zu;zul;195;Zulu
